source_section,website_product_name,top_products_pcode_reference_only,products_json_code,status,suggested_lookup_code,candidate_lookup_code,lookup_source,match_score,matched_product_name,matched_category,matched_price,matched_unit,matched_open_price,matched_product_id,active_lookup_count,products_json_code_lookup_count,products_json_code_matches_suggested
top_products,MANGOES CALYPSO EA,19772,,safe,20373,20373,loose_active_db_name,1,Calypso Mango,Tropical,3.49,each,0,p-kb-pg16-calypso,1,,
top_products,MANGOES KEITT EA,1008276,,safe,20374,20374,loose_active_db_name,1,Keitt Mango,Tropical,1.99,each,0,p-kb-pg16-btn4,1,,
top_products,MANGOES KP,1007988,,safe,20103,20103,loose_active_db_name,1,Kp Mango,Fruit,3.5,each,0,p-kb-pg16-kp-mango,1,,
top_products,MARKET GROCER SOUR WORMS 200G,24830,,safe,9315054008362,9315054008362,exact_active_db_name,1,MARKET GROCER SOUR WORMS 200G,Dried Fruit & Nuts,3.99,each,0,7495943b-9a50-4bac-940b-378930df680d,1,,
top_products,MINT FRESH LARGE,10968,,safe,1962,1962,exact_active_db_name,1,MINT FRESH LARGE,Fresh Herbs,3.89,each,0,c2dec560-0066-42a4-a16b-26b935b9cb22,1,,
top_products,NAVEL ORANGE,20391,,safe,20318,20318,exact_active_db_name,1,Navel Orange,Oranges,6.99,kg,0,p-orange-navel,1,,
top_products,ONIONS SPANISH 1 KG BAG,1008508,,safe,2444,2444,exact_active_db_name,1,ONIONS SPANISH 1KG BAG,Vegetables,2.99,each,0,abab59ed-64ef-4977-bd3b-b5147b6dd402,1,,
top_products,ORANGE  3 KG BAG,1006965,,safe,4911,4911,loose_active_db_name,1,3 KG ORANGES,Fruit,6.99,kg,0,2af8765a-61b9-41c7-8c1d-45d8dde6a239,1,,
top_products,ORANGE CANDY MELON WHOLE EA,20204,,safe,4753,4753,loose_active_db_name,1,ORANGE CANDY MELON WHOLE,Fruit,5.99,each,0,11105c1b-9b3f-423a-aa27-32d444964d98,1,,
top_products,ORANGES  VALENCIA KG,8291,,safe,3791,3791,exact_active_db_name,1,ORANGES VALENCIA KG,Fruit,3.89,kg,0,ee8c6cf5-7f7d-4264-a53f-307e7b284ed7,1,,
top_products,OUTDOOR MIX 160G,24611,,safe,9315054002261,9315054002261,exact_active_db_name,1,OUTDOOR MIX 160G,Dried Fruit & Nuts,7.85,each,0,9e67b203-ed49-47c8-8795-07d6bf2608d5,1,,
top_products,OUTSIDE ROCKMELON EA,27551,,safe,20348,20348,loose_active_db_name,1,Rockmelon,Melons,5.99,each,0,p-kb-pg17-rockmelon,1,,
top_products,PARSLEY CONTINENTAL BUNCH,1007721,,safe,3266,3266,exact_active_db_name,1,PARSLEY CONTINENTAL BUNCH,Fresh Herbs,3.89,each,0,eb01065f-b231-4a7c-97ae-442309801b8e,1,,
top_products,PARSLEY CURLY BUNCH,1007720,,safe,3262,3262,exact_active_db_name,1,PARSLEY CURLY BUNCH,Fresh Herbs,3.89,each,0,7f4a26a9-cd44-4e6a-bc41-a6e659006376,1,,
top_products,PEACH YELLOW KG,1008104,,safe,20380,20380,loose_active_db_name,1,Yellow Peach,Fruit,6.99,kg,0,p-kb-pg20-yellow-peach,1,,
top_products,PEARS NASHI YA PEARS,1008201,,safe,5392,5392,curated_produce_alias,1,Nashi,Fruit,1.99,each,0,p-kb-pg21-btn1,1,,
top_products,PERSIMMON KG,1008089,,safe,5022,5022,exact_active_db_name,1,PERSIMMON KG,Fruit,12.99,kg,0,fe30f455-8d34-4fce-bfe0-16a59beba383,1,,
top_products,PINK LADY APPLE SPECIAL,1007792,,safe,4031,4031,curated_produce_alias,1,PINK LADY APPLE KG,Fruit,1.99,kg,0,price-list-4031,1,,
top_products,PISTACHIO SALTED 175G,24610,,safe,9315054009369,9315054009369,exact_active_db_name,1,PISTACHIO SALTED 175G,Dried Fruit & Nuts,8.9,each,0,609a9e61-e3de-4aa7-929d-198c3bcdf1c9,1,,
top_products,PLUMS SUGAR KG,1008160,,safe,5241,5241,exact_active_db_name,1,PLUMS SUGAR KG,Fruit,11.99,kg,0,e146137b-5c5e-4703-993a-1424a27f9b92,1,,
top_products,POMMELO  KG,21343,,safe,4914,4914,exact_active_db_name,1,POMMELO KG,Fruit,8.98,kg,0,52323ff1-14df-46c6-9727-8459487c3d69,1,,
top_products,POPPING CORN 500G,24595,,safe,9315054004951,9315054004951,exact_active_db_name,1,POPPING CORN 500G,Dried Fruit & Nuts,3.29,each,0,cd950f40-eff6-4fdf-8f3b-5433c9a44a4d,1,,
top_products,RED PLUMS KG,18371,,safe,5121,5121,exact_active_db_name,1,RED PLUMS KG,Fruit,9.89,kg,0,c33e93b1-7d5a-4980-a4a1-76627027814d,1,,
top_products,ROSEMARY BUNCH,16044,,safe,8988,8988,exact_active_db_name,1,ROSEMARY BUNCH,Fresh Herbs,3.89,each,0,7468bc47-1d01-4aa8-bb5c-889369905896,1,,
top_products,ROYAL GALA SMALL,1007801,,safe,4065,4065,loose_active_db_name,1,SM ROYAL GALA,Fruit,4.99,kg,0,price-list-4065,1,,
top_products,SWEET POTATOES OUTSIDE,21156,,safe,20211,20211,loose_active_db_name,1,Sweet Potato,Sweet Potatoes,3.99,kg,0,80dfa0ba-abd9-4a81-bb76-1e6acc7206de,1,,
top_products,TOMATOES ROMA PER KG,1007669,,safe,20401,20401,loose_active_db_name,1,Roma Tomato,Tomatoes,7.89,kg,0,p-kb-pg35-roma,1,,
top_products,TOMATOES ROUND KG,1007647,,safe,20406,20406,loose_active_db_name,1,Round Tomato,Tomatoes,6.89,kg,0,f32a2d39-fb12-4b68-8855-00e2dd0ff869,1,,
top_products,TOMATOES TRUSS VINE  KG,1007704,,safe,3181,3181,exact_active_db_name,1,TOMATOES TRUSS VINE KG,Vegetables,7.99,kg,0,ef44d8eb-f0f6-4da4-932d-cc0154ba4de3,1,,
top_products,WATERCRESS BUNCH,1007735,,safe,3322,3322,exact_active_db_name,1,WATERCRESS BUNCH,Fresh Herbs,3.89,each,0,9dac8e92-a804-4250-8947-44250136e61e,1,,
top_products,WATERMELON SEEDED LONG WHOLE,1008234,,safe,20355,20355,loose_active_db_name,1,Long Seeded Watermelon,Melons,0.99,kg,0,p-watermelon,1,,
top_products,WATERMELON SEEDLESS WHOLE KG,1008015,,safe,4801,4801,exact_active_db_name,1,WATERMELON SEEDLESS WHOLE KG,Fruit,0.99,kg,0,4183576f-d2b7-4b15-81f0-fc41ec217f6d,1,,
top_products,YELLOW SPLIT PEAS 500G,24596,,safe,9315054004555,9315054004555,exact_active_db_name,1,YELLOW SPLIT PEAS 500G,Dried Fruit & Nuts,2.95,each,0,19c43dfb-60f8-4c51-b60e-e7aff9a9520e,1,,
Fruit,3 KG ORANGES,,4911,safe,4911,4911,exact_active_db_name,1,3 KG ORANGES,Fruit,6.99,kg,0,2af8765a-61b9-41c7-8c1d-45d8dde6a239,1,1,yes
Fruit,APPLE BRAVOI KG,,5711,safe,5711,5711,exact_active_db_name,1,APPLE BRAVOI KG,Fruit,6.49,kg,0,b31ce75a-6e5e-4992-997c-1c887d8550e7,1,1,yes
Fruit,APPLE GRANNY SMITH LGE KG,,4071,safe,4017,4017,loose_active_db_name,1,Granny Smith Apples,Apples,5.99,kg,0,p-apple-gsmith,1,1,no
Fruit,APPLE GRANNY SMITH SML KG,,4075,safe,4075,4075,exact_active_db_name,1,APPLE GRANNY SMITH SML KG,Fruit,4.99,kg,0,price-list-4075,1,1,yes
Fruit,APPLE PINK LADY  KG,,4011,safe,4031,4031,loose_active_db_name,1,PINK LADY APPLE KG,Fruit,1.99,kg,0,price-list-4031,1,1,no
Fruit,APPLE PINK LADY SMALL KG,,4015,safe,4015,4015,exact_active_db_name,1,APPLE PINK LADY SMALL KG,Fruit,4.99,kg,0,price-list-4015,1,1,yes
Fruit,APPLE RED DELICIOUS LGE KG,,4021,safe,20310,20310,loose_active_db_name,1,Red Delicious Apple,Apples,5.89,kg,0,p-kb-pg7-red-delicious,1,1,no
Fruit,APPLE ROYAL GALA LGE KG,,4061,safe,4061,4061,exact_active_db_name,1,APPLE ROYAL GALA LGE KG,Fruit,6.89,kg,0,price-list-4061,1,1,yes
Fruit,APPLES GREEN BAG PER KG,,40026,safe,40026,40026,exact_active_db_name,1,APPLES GREEN BAG PER KG,Fruit,1.99,kg,0,website-fv-40026,1,1,yes
